200 200
70 111 -82
70 189 73
71 146 -63
73 65 7
73 89 6
73 195 -75
74 7 -7
74 63 -87
74 84 -37
74 91 68
74 96 -16
74 131 -11
74 185 -12
75 50 -87
75 67 86
75 141 44
75 159 -67
76 2 -25
76 6 -10
76 118 16
76 139 -21
76 153 -18
77 24 -91
77 131 -40
77 165 95
78 62 -11
78 62 -3
78 117 -61
78 149 11
78 172 -20
79 161 -94
79 169 -38
80 92 -81
80 121 87
80 174 7
81 87 89
81 92 13
81 178 -59
82 27 -45
82 57 -25
82 62 -41
82 104 -93
82 183 -58
83 64 22
83 105 45
83 144 3
83 197 -80
84 50 -58
84 157 -41
84 197 -74
85 75 -7
86 94 -40
86 98 -96
86 111 -31
86 123 -2
87 143 97
87 147 39
87 165 77
89 49 -41
89 74 26
89 150 -89
90 166 -5
91 127 -27
91 139 45
91 154 -86
91 169 -19
92 26 2
92 115 7
92 122 64
93 6 -55
93 39 -57
93 57 -94
93 96 -13
93 98 -94
93 122 -35
93 173 -74
93 185 -74
94 79 54
96 43 58
96 54 -7
97 84 -5
97 128 44
98 59 -79
98 144 -67
98 147 -15
98 163 -6
99 3 -32
99 14 49
99 73 20
99 85 29
99 108 -23
99 147 -39
101 6 -56
102 23 70
102 33 -64
103 30 85
103 145 60
103 170 38
104 61 47
104 124 -19
104 154 -14
105 153 -4
106 94 -21
106 100 -74
106 165 -24
107 32 -65
107 141 -52
107 187 -3
109 3 59
109 79 7
109 124 70
109 186 -11
109 199 14
111 37 -91
111 87 -44
111 132 -84
111 157 69
111 182 84
111 188 72
112 39 -76
112 91 42
113 27 90
113 49 -45
114 47 41
114 159 46
114 167 39
114 180 55
114 189 -75
114 191 -46
114 194 89
115 87 -41
115 121 77
115 148 54
116 184 -93
116 193 -69
117 98 -66
117 98 25
118 153 6
118 175 -97
119 9 -3
119 30 20
119 49 -99
119 58 -57
119 116 -54
119 138 -7
119 165 44
120 98 81
120 174 53
120 180 -55
121 24 89
121 26 52
121 49 -87
121 58 -1
121 175 21
122 2 44
122 100 -63
122 174 69
123 6 62
123 68 11
123 147 11
123 185 59
124 12 -90
124 126 -70
125 123 23
126 17 46
126 142 77
127 2 -41
127 33 53
127 63 -77
127 106 93
127 108 -11
127 148 66
127 164 -4
129 9 49
129 101 -9
130 30 8
130 153 -13
132 17 100
132 63 19
132 93 -92
132 172 81
133 82 73
134 85 -12
134 109 -94
135 171 -84
135 172 -30
135 185 33
136 50 64
136 70 -66
137 49 -69
138 4 33
138 121 60
138 137 -86
140 82 10
140 111 8
140 172 -43
140 198 -45
141 71 -45
141 98 51
141 167 -99
142 11 32
142 59 59
142 161 3
143 8 -95
143 56 -69
143 95 -55
144 71 -40
144 92 -5
144 174 -5
145 22 28
145 85 31
145 85 79
145 89 98
145 110 -78
145 177 -70
148 37 84
148 80 -56
148 159 -100
150 60 -72
150 65 -38
150 118 68
150 139 95
151 115 20
151 123 -52
151 153 -13
152 20 59
152 70 -83
152 75 100
152 166 -70
152 172 2
153 80 62
153 150 92
153 173 70
155 2 48
155 185 -77
156 131 2
156 134 90
157 29 62
157 151 73
157 173 62
158 23 -66
158 171 -83
160 164 34
161 23 -52
161 34 69
161 136 -24
161 164 37
162 26 5
162 165 -18
162 166 -86
162 183 -14
163 44 61
163 69 94
163 106 -49
164 84 -82
164 100 95
166 62 -35
166 66 4
166 69 -87
166 125 -90
166 138 33
167 51 -78
167 92 -16
167 94 -43
169 84 15
169 143 48
170 71 -51
170 90 26
170 197 25
171 12 59
171 83 -23
172 96 94
172 189 -62
173 4 -93
173 112 -69
174 159 35
176 4 74
176 30 56
176 84 -70
176 196 88
177 132 42
177 168 70
178 177 50
179 132 9
179 143 70
179 168 51
180 25 64
180 45 48
180 53 -96
180 68 -19
180 117 73
180 150 -10
181 106 27
182 122 -17
184 165 76
184 177 10
185 4 -64
188 100 -53
189 37 57
189 199 -29
190 4 -80
190 114 34
190 134 -93
190 155 69
190 162 -63
190 182 53
191 104 -14
191 144 -83
191 176 -13
192 74 -79
193 42 -96
193 56 100
193 142 -17
193 181 -80
193 193 27
194 47 -9
195 33 -90
195 44 -35
196 28 100
197 46 42
197 47 -63
197 99 75
197 113 -13
197 136 -54
197 169 29
198 117 69
198 122 -8
199 187 -15
