30000 30000
41 29158 -92
42 1419 -81
42 17519 -25
43 284 24
43 11567 -18
44 1411 -55
44 4509 65
44 7807 80
44 24839 36
45 6855 -97
45 7933 -99
45 11351 20
45 12971 -6
45 16302 57
45 26415 90
46 665 13
46 14977 -4
47 8880 67
47 23177 69
48 2388 -98
49 5215 -71
49 21484 -18
49 29680 38
50 26820 48
51 10317 39
52 24240 -6
53 9383 -18
53 9871 61
53 17158 13
53 19730 -84
53 23916 43
54 9036 32
54 18530 -100
54 20143 -64
54 25802 64
54 26487 -96
56 8185 -52
56 13105 89
56 14659 -40
56 24477 -22
57 16438 57
58 852 18
58 25209 94
59 17377 80
60 15648 95
61 1483 -21
61 12664 -54
61 18514 -51
62 24234 -51
63 1707 70
63 11197 -73
63 24069 -53
63 27353 45
64 2827 -70
64 11920 -66
64 17132 42
64 29921 -43
65 4238 -43
65 5935 -92
65 17939 -45
65 23786 39
65 27678 -85
66 3734 -83
66 4122 46
66 7119 11
67 5615 -87
67 7395 -55
67 8976 -42
68 13887 -40
68 17115 -30
68 19544 9
69 2025 52
69 2724 45
69 7427 12
69 13771 -28
69 25195 23
69 25755 45
69 26354 -21
70 3717 30
70 7852 -1
70 22186 -22
71 142 -62
71 3123 -3
72 2117 -12
72 10174 50
72 21581 69
72 26043 21
73 4870 97
73 6330 -80
73 12535 -89
73 13627 -31
74 2621 -63
74 6468 -75
74 20780 -68
75 2651 -36
75 10857 87
75 29048 75
76 3037 -3
76 10265 -92
76 10597 10
76 11092 1
76 23089 35
77 5762 40
77 7285 10
77 10135 -43
78 2972 -86
78 6863 4
78 17457 -81
78 19619 -74
78 19816 -79
78 21039 63
78 22905 2
78 27627 61
78 28761 -55
79 2188 -58
79 9107 -53
79 13518 -81
79 15585 15
79 18382 31
79 18547 80
82 18850 -94
82 25590 -11
82 26023 -2
83 6074 -50
83 21430 85
84 318 -83
84 11165 92
84 23296 79
85 16353 53
85 20165 -98
85 23014 -74
85 24396 96
85 28815 -97
86 3664 -85
86 8853 62
86 13747 -93
86 16161 42
86 19805 98
86 25313 55
87 8910 50
88 602 -16
88 1019 -62
88 4848 -7
88 11144 -60
89 14386 -87
89 16903 -80
89 17362 63
89 23339 -88
89 25843 -84
90 2231 -18
90 3197 49
90 5587 -72
90 17369 15
91 13959 48
91 19230 79
92 6342 -28
92 24444 10
93 2527 29
93 4614 14
94 9093 -18
94 19668 97
95 15983 -63
95 16275 65
95 18361 74
95 29978 56
97 11630 37
97 16359 -62
97 24865 69
98 1156 -78
98 2940 33
98 23367 -39
98 25595 -71
99 1212 -100
99 20702 -35
100 2525 -84
100 11252 88
100 14205 82
100 14808 -58
100 20579 87
100 26212 33
101 5015 -27
101 17809 -53
101 20129 73
101 20307 2
101 27914 61
102 1791 -18
102 2030 10
102 17550 65
102 23350 20
102 29570 19
103 7194 -64
103 25484 91
104 22888 -80
105 4421 52
105 19252 58
105 19334 -70
105 19491 47
105 20732 39
105 27610 -51
106 1978 28
106 6149 71
106 25200 65
107 16035 -13
107 17513 8
107 20202 37
108 11609 -17
109 24211 24
110 19511 79
111 7688 29
111 8032 -56
111 8402 2
111 10650 93
111 14900 -48
112 9555 -14
112 11536 56
112 22013 59
112 23846 -5
112 25776 -85
113 3198 -78
113 10204 79
113 11619 -36
113 18925 39
113 23314 -50
114 14142 -43
114 21711 79
115 377 -93
115 4023 82
115 19295 -58
115 22737 84
116 1149 -26
116 13984 92
116 26469 82
117 15190 98
117 21472 64
117 23968 10
117 25470 -48
118 6287 -49
118 10920 -27
118 22872 -66
119 853 84
119 9407 99
119 21659 -39
120 4649 89
120 12548 -98
120 17761 46
121 904 -52
121 3664 -13
121 10479 6
121 16657 42
121 21532 83
122 4812 9
122 5454 82
122 24188 6
123 3735 -82
123 24779 99
123 27370 35
124 24483 -34
124 28094 -87
125 16904 1
125 18311 48
125 18551 -79
125 27727 -75
126 340 -44
126 6809 -28
126 9164 -28
126 28190 -37
127 6260 79
127 29630 -92
128 15025 -89
128 15417 -80
128 28490 95
129 6055 17
129 23568 -13
130 4976 100
130 21032 60
131 1455 -74
131 6962 -95
131 9585 -65
131 18368 -94
131 28495 -76
132 9782 -85
132 10603 92
132 12624 -64
132 14234 81
132 15427 68
132 18603 47
132 24086 67
134 9857 -35
134 25762 -22
134 27979 64
135 926 -22
135 11012 -51
135 14137 84
135 19232 4
136 12312 -100
136 12832 -1
136 20477 -1
137 3173 -25
137 5224 -37
137 11032 21
137 14553 -64
137 16246 37
137 17201 50
137 17827 63
137 26536 26
138 14385 -38
138 17570 -83
139 8009 -91
139 10302 10
139 28712 -89
140 2294 -96
140 15183 92
140 28545 -27
141 717 70
141 3041 8
141 3925 -46
141 27572 -58
142 4113 60
142 7867 -8
142 24011 40
143 1152 40
143 7201 57
143 20257 39
143 20718 63
143 28630 3
143 28818 -34
144 12275 -35
144 23099 47
144 25847 -89
144 28317 86
145 2758 -46
146 16034 91
146 23280 14
147 3279 -88
147 6803 -58
147 12170 100
147 12457 36
148 34 -80
148 25245 36
149 1791 -99
149 23996 -87
149 26469 -21
150 1529 37
150 7150 9
150 17481 19
151 587 -74
151 23141 5
152 3859 78
153 15723 -51
153 21774 5
154 7955 -61
154 10208 -69
154 17666 41
154 22073 11
154 26174 88
155 33 63
155 8548 97
155 24251 6
155 28613 -27
156 1198 -29
156 12473 45
156 22302 28
157 1737 -45
157 6138 -87
157 7708 -56
157 20823 7
157 25022 63
158 4981 -59
158 9587 19
158 19987 -75
159 7160 1
160 11841 25
160 17169 -10
161 2188 42
161 4343 16
161 5613 17
161 9671 46
161 23350 -60
162 1487 -48
162 9933 67
163 9719 -71
163 20293 -3
163 20591 -6
163 29797 17
164 3226 -96
164 22895 -63
164 27456 91
165 2379 70
165 4580 -28
165 23422 -50
166 2495 63
166 18454 -18
167 4724 7
167 29849 23
168 4745 -45
168 5793 -83
168 7922 78
168 9226 11
168 11384 -70
168 19419 -50
168 22442 -50
168 22851 -54
168 25578 -7
168 27177 40
169 1538 1
169 2412 -31
170 2652 -88
170 9061 -19
170 13428 97
170 15880 -76
170 20632 -40
171 4003 -22
171 4333 -76
171 9769 88
171 10784 71
171 20018 22
171 23571 90
171 25385 28
172 1209 -89
172 14038 32
172 14956 -4
172 16724 -93
172 18132 -28
173 16954 -14
173 23170 -23
174 9303 47
175 6025 70
175 24785 -41
175 25492 27
176 7454 -48
176 8235 -74
177 9820 46
177 12558 -26
178 21915 77
178 27549 7
179 25898 99
179 27589 11
180 613 23
180 5696 92
180 17945 98
181 28687 95
182 6335 26
182 10280 46
182 14496 24
182 16199 100
182 25855 80
182 29399 -60
183 10780 -67
183 11158 -6
184 11777 59
184 13411 -100
184 20539 48
184 28965 4
185 7898 77
185 11275 55
185 23499 55
185 23969 75
186 3745 20
186 9659 -77
186 17871 87
186 22678 98
187 16122 72
187 28371 72
188 11913 -27
188 12729 12
188 13008 70
188 18763 -1
188 25687 -19
189 2818 73
189 24537 77
189 27048 -6
190 23643 95
191 21193 -48
191 25409 -75
191 27353 -15
191 29818 29
192 2358 38
192 5852 -63
192 17070 -46
192 17334 -88
192 19558 -13
192 26921 -38
193 2282 -4
193 26501 91
194 5782 -1
194 13249 -70
195 12674 -24
195 12875 -41
195 15599 -97
195 21868 -38
195 26715 -54
195 27392 36
196 10505 -37
196 19343 -62
196 20789 24
197 15345 39
197 18179 40
197 27864 13
198 17047 62
198 20224 -10
198 20330 -25
198 22757 81
198 23124 88
199 1488 7
199 26051 56
200 29250 6
201 341 25
201 10315 62
202 4520 -51
203 5773 -99
203 13176 97
203 13220 54
204 19508 23
204 19729 -85
204 22089 -69
204 25675 92
204 26086 -7
205 8222 48
205 8581 -85
205 12827 65
205 13064 -17
205 24377 -84
206 12252 -62
207 4312 -80
208 12543 -6
208 19776 -86
209 13061 -30
209 16932 -49
210 1765 -85
210 3076 -18
211 5641 79
211 6110 100
211 7907 61
212 5927 -36
212 15371 63
212 17605 -35
212 19317 74
212 27612 7
213 1323 -40
213 2112 56
213 2856 43
213 24352 48
214 12980 27
214 18588 47
215 17798 -9
215 25868 96
216 98 64
216 3116 80
216 6960 -33
216 16129 46
216 16706 -9
216 20239 -33
216 21216 -16
217 4085 -2
217 21761 -27
218 5212 -65
218 6997 87
219 2527 -82
219 19239 -60
220 827 -2
220 12604 85
221 13680 -91
221 18142 -51
221 29093 72
222 2078 -41
222 19389 -31
222 22116 -65
223 9979 54
223 11324 -14
223 18127 80
223 21365 59
223 28359 -30
224 17248 48
225 8010 -85
225 11334 -99
225 20810 61
226 6759 -99
226 12407 51
226 16602 34
227 3115 72
227 7071 36
227 7617 18
228 6692 88
228 10541 79
228 27890 -23
229 6135 4
229 9189 -38
229 14855 -25
230 1982 25
230 3927 26
231 24484 -83
231 24719 -42
232 10814 -72
233 29652 -1
234 4933 34
234 11282 -86
234 14813 -71
234 15359 -30
234 24076 37
235 2884 50
235 7929 -60
235 15509 -60
236 8704 76
236 11461 80
236 14430 11
236 16146 -97
236 25343 77
236 26914 71
236 29739 -60
237 14819 85
238 12525 -13
239 29045 72
240 15997 -62
241 11864 -55
241 18050 -61
242 13886 -93
242 24549 90
242 29120 -8
243 9772 58
243 14896 -60
243 16885 -40
244 267 -79
244 875 -98
244 25649 51
245 4519 -83
245 10421 45
245 20464 -22
246 6960 41
247 6813 53
247 24282 63
247 25339 51
248 5959 -10
248 25589 -81
248 25859 -66
249 8984 76
249 16560 95
249 18544 16
250 8713 75
250 24846 -98
250 24952 -43
251 24357 37
252 8106 -37
252 10058 -100
253 3899 -7
253 16017 11
254 7922 97
255 23263 -27
256 6021 63
256 16891 -30
256 18383 -67
256 19015 95
257 16844 -27
257 17753 -68
257 22839 -77
258 20114 53
259 970 40
259 20350 -82
259 25216 20
260 22266 -1
260 25149 44
261 2109 -89
261 6897 30
261 23783 99
261 24184 72
261 28831 73
262 1219 -45
262 5763 19
263 3956 61
263 5983 23
263 26760 -100
263 27836 61
264 7015 -88
264 14333 94
264 22300 -15
264 25318 -67
265 7373 -37
265 7977 -77
265 13321 -79
265 17608 5
266 14079 8
267 8907 -68
267 10632 29
268 17391 60
268 24635 -33
269 9293 -58
269 24971 -4
269 27042 61
269 27206 -27
270 2891 -19
270 6410 -97
270 23079 89
270 23292 16
270 26976 65
271 3634 47
271 14309 39
271 14343 95
271 15818 -43
271 26472 -21
272 2100 -26
272 15570 -78
273 4310 66
273 7991 -31
273 10692 59
273 19108 92
273 20004 -80
273 24508 71
274 1157 43
274 9864 28
274 14910 90
275 7414 71
275 11852 9
276 21411 87
277 3330 22
277 28218 -11
277 28914 -55
278 6470 23
278 22452 48
279 10226 -73
279 13656 -71
279 23838 -64
280 1184 -1
280 6913 -68
281 2235 -8
281 3422 92
281 18623 -70
281 19443 -39
281 25372 -54
281 26325 98
282 16286 -43
282 17439 -26
282 18623 80
282 22531 -3
283 1819 -87
283 8133 -51
283 8831 29
283 16948 -28
283 28789 -100
284 6186 -70
284 12255 -55
284 15044 -22
284 24977 52
286 364 62
286 1813 91
286 5957 -98
286 8863 82
286 10021 -2
286 19334 -96
286 23924 59
286 24105 -2
286 28650 -62
287 10075 -28
287 12073 -34
287 18137 89
287 20008 -96
287 28061 16
288 4564 5
288 11631 -93
288 11772 -92
288 22170 28
288 23606 -85
288 28761 -59
289 3961 93
289 4376 71
289 9112 -3
290 492 70
290 868 35
290 4497 -68
290 8756 -74
290 21051 -35
291 11712 -11
291 14217 -24
291 15249 54
291 27839 -16
292 2008 -93
292 8482 -24
292 13640 -64
292 25897 -39
292 26006 59
293 12258 74
293 17848 16
294 5795 10
294 14745 4
294 21560 61
295 274 26
296 10366 -3
296 24325 21
297 24493 -17
298 831 -51
298 2769 52
298 23043 49
299 942 -23
299 22885 -12
300 4930 -51
300 9548 -41
300 22329 2
300 25902 -46
301 5144 39
301 5994 -27
301 15910 -39
301 19192 98
303 4509 79
303 13690 25
303 20341 -27
303 28799 93
304 371 -92
304 1433 -54
304 3150 71
304 9295 28
304 11005 -42
304 17789 -26
304 25940 -32
304 26344 41
304 29145 -40
305 9490 -8
305 20070 -58
305 27420 37
306 224 31
306 9032 -7
306 9238 -39
306 9862 -43
306 13665 -22
306 24591 -45
306 28474 95
307 2703 -52
307 8845 -90
307 9295 25
307 11559 70
307 14226 -13
307 19633 20
307 27250 11
307 27605 38
308 1026 75
308 2213 52
308 26778 -90
308 28698 11
309 4282 -7
309 20631 -15
309 23438 87
310 28338 -49
311 8968 -32
311 17945 -66
311 27038 65
311 27732 62
312 2990 37
312 23902 -1
313 15965 -82
313 20714 -2
313 21340 11
315 14918 -58
316 6944 -61
317 14606 -52
317 18702 -19
317 25197 53
317 25687 -50
319 5710 -62
319 11722 37
319 15578 17
319 19933 -8
319 28603 20
319 28799 -42
320 2458 71
320 5499 90
320 10546 -91
320 13860 57
321 1024 -84
321 9825 -43
321 10668 -6
321 12649 -52
322 12333 100
322 21416 -75
322 23249 93
322 28073 10
323 6251 -21
324 3121 6
324 3740 -73
324 18908 67
325 8509 -86
326 10984 11
326 22495 -75
326 27115 37
327 4435 -91
327 6773 -8
327 21614 38
327 23004 78
327 25259 -15
327 27743 -45
328 10580 4
328 18545 -69
328 26735 94
329 9252 -6
329 29335 87
330 4876 62
331 7451 -81
331 11581 -69
331 17119 -34
332 4332 -27
332 18204 2
332 20052 -49
333 1306 -25
333 6129 -55
333 7953 -2
333 18049 45
333 21868 51
334 7989 -23
334 8658 -74
334 19765 49
334 21952 -70
335 5524 -67
335 7762 -59
336 5954 66
336 6721 74
336 25729 80
336 29033 -48
337 26873 -56
338 3042 85
338 6670 8
338 24702 -76
339 5208 -19
339 9879 49
340 16855 -2
340 20968 66
340 22281 88
340 28697 83
341 10662 -8
341 11738 71
341 12476 90
341 18668 -64
341 21869 50
342 2290 -58
342 11855 11
342 23085 -88
342 29883 -4
343 12174 -78
343 14916 74
344 16785 83
344 23320 -52
345 26363 91
345 29880 13
346 9683 46
346 12628 -57
346 21508 -95
346 27423 10
346 28167 -85
346 28680 -51
347 26027 -90
347 26253 -27
347 29528 -72
348 10799 87
348 11021 55
348 16880 3
348 26338 50
349 6817 18
349 10392 -98
349 18554 35
349 22481 95
349 24231 -71
350 4934 -32
350 21176 -60
351 5752 96
351 24916 47
352 6333 70
352 17968 46
353 11757 -74
353 20046 17
353 25347 -12
354 115 22
354 10146 25
355 2934 -46
355 18296 -64
356 24159 -41
357 9708 83
357 15065 82
358 21753 -59
358 24112 5
358 25361 -2
359 6894 -36
359 12643 33
359 13619 37
359 19773 36
360 5052 -36
360 12598 -12
361 85 -39
361 266 -22
361 13876 -83
361 19785 3
361 21504 43
361 22440 -41
361 29122 31
362 5610 14
362 11420 97
362 28765 -76
363 14810 -100
363 15753 -5
363 15891 -78
363 23977 -71
363 25543 96
363 26214 -7
364 20443 86
364 22078 98
364 29960 51
365 2728 -46
365 4311 -22
365 8884 12
365 16980 -93
365 19876 -77
366 12725 92
367 21217 52
367 25960 70
368 10149 -82
368 19131 51
368 22514 29
369 9378 50
369 9877 31
369 11508 -18
369 14576 -6
369 21855 10
369 24006 -37
369 29186 -3
370 502 -47
370 4516 42
370 8019 -78
370 9431 -84
370 25427 -50
370 28447 57
371 11754 -92
371 19971 52
371 25566 -40
372 6019 47
372 19011 -21
372 25966 -45
373 19301 -32
374 351 -46
374 14592 48
374 17615 55
374 19717 -89
374 24585 3
375 15380 4
375 17252 22
375 17677 6
375 18258 5
375 20551 -86
375 25347 -70
376 2631 -76
376 3124 40
376 16544 4
376 17097 -52
376 21714 -16
377 13936 54
377 16965 94
378 1659 55
378 27517 44
378 29363 -61
379 388 -68
379 21838 50
379 23153 -84
380 488 70
380 2415 15
380 5011 -11
380 6315 26
380 13783 -75
380 15710 -47
380 20003 16
381 5575 -27
381 12694 9
381 15495 -59
381 16643 -89
381 21304 -26
382 17906 55
382 22710 -17
383 16357 68
384 25325 29
385 21456 -78
385 29078 -58
386 7342 45
387 4146 64
387 5788 -98
387 11015 94
387 25657 14
387 27463 41
388 2345 33
388 26054 88
389 25676 64
389 28551 20
390 19935 74
390 25939 67
391 18150 -1
391 18627 19
391 21206 -83
391 25587 84
392 9433 -97
392 17499 70
392 24718 10
392 27916 6
392 29667 -28
393 24 -47
393 3961 -15
393 10356 19
393 14728 87
393 16125 87
393 18050 1
393 22715 8
393 27109 -68
394 2939 46
395 335 44
395 6542 49
395 10297 38
395 21673 86
396 3662 63
396 19616 63
396 21493 -62
397 2727 24
397 8320 23
397 22891 98
397 27322 5
397 28989 -23
398 7134 -33
399 4643 86
399 5354 38
399 15919 -64
399 17936 1
399 18203 53
399 18315 97
400 23804 2
401 11078 -58
401 12733 -70
401 19720 56
401 24149 -22
401 27421 86
401 27576 -40
401 27962 80
402 196 83
402 2870 97
402 7201 -33
402 7980 -6
402 25445 56
403 12152 -44
403 15522 46
404 883 31
404 18685 26
404 23177 65
405 5904 92
405 8869 -13
406 13401 7
406 16797 70
407 12847 36
408 1990 48
409 187 95
409 1746 -100
409 13784 -41
412 10277 15
412 11341 -33
413 855 -31
413 7779 88
413 8789 23
414 113 -59
414 8384 58
415 20529 93
415 21886 67
415 26193 31
416 4466 55
416 11629 35
416 19375 15
416 23275 -59
416 24234 92
416 29813 32
417 4995 -70
417 6717 -54
418 10139 -65
418 15145 82
418 19919 -99
418 20555 26
418 25690 -88
418 27910 7
419 3249 -7
420 7283 93
420 22025 50
420 26529 -56
421 11828 24
421 16305 9
422 5644 -45
422 6892 -39
422 23887 1
422 28974 27
423 5253 47
423 9499 18
423 16956 15
424 5563 44
424 10705 12
424 16506 56
425 6121 -85
425 7162 97
425 18281 -63
425 24022 -8
426 8843 -37
426 17788 23
426 23911 24
426 27796 44
427 10287 67
427 25239 -42
427 25479 -100
428 1193 -53
428 7444 -24
429 3480 -25
429 12024 -76
430 10072 -55
430 11050 25
430 17951 2
430 26020 -23
430 29384 82
430 29760 49
431 4444 36
431 4928 -11
431 9761 -95
431 15871 -100
431 16426 38
431 28373 81
432 20077 9
432 20172 11
432 24685 63
433 2343 -77
433 21707 -8
433 24838 -30
434 1781 -58
434 7114 -82
434 7977 -96
434 16052 -88
434 17820 -76
434 26457 39
435 2412 -42
435 2845 28
435 19069 -79
435 19722 -4
436 1568 -87
436 9525 -13
436 20128 35
436 21371 -13
436 29578 -78
437 599 35
437 12994 -2
437 29767 -64
438 10859 76
438 15694 56
440 4856 -94
440 5556 81
440 13693 -98
440 15173 -85
440 28224 -6
441 7566 71
441 7825 -4
441 12325 83
441 12408 46
441 20527 78
442 5449 -3
442 10067 -82
442 21902 72
442 24200 -27
443 11726 63
443 13105 -14
443 15093 29
444 720 70
444 1044 -94
444 22786 51
445 14112 -74
445 15389 -1
445 21576 37
445 25150 -14
446 11042 98
446 14062 -46
446 21432 -95
446 21992 41
447 508 65
447 24446 79
447 26289 -36
448 492 -33
448 16535 -67
448 20807 23
448 23209 72
448 25262 -5
448 27562 -94
448 29327 -96
449 7305 44
449 12422 9
449 19447 -63
449 27425 -21
450 11499 -86
450 14583 -9
450 17579 43
451 4756 7
451 18659 97
451 18706 82
451 24983 60
451 26506 88
451 28312 29
452 3267 -3
452 7974 -74
452 17607 -52
452 27748 -94
452 28722 -80
453 1102 31
453 3089 -51
453 5444 18
453 6845 -73
453 28304 90
454 6897 19
454 26450 -68
454 28115 -31
455 10693 -61
456 7078 86
457 9125 -52
457 9963 10
457 15608 57
457 26310 11
458 9185 56
458 10409 28
458 13082 -45
458 15235 31
458 19500 4
458 19536 -97
458 19865 65
458 23245 33
459 10163 73
459 14007 37
460 15155 61
460 25916 -100
460 25964 76
460 26851 -22
460 26921 -35
462 14096 19
463 15417 11
463 20206 -52
463 22963 81
464 2316 -6
464 7878 -49
464 13920 56
464 17791 81
465 5511 -52
465 7589 -53
465 27561 -59
465 28760 100
466 13474 -29
466 14521 -97
466 20117 -58
466 23429 -30
466 28049 9
467 11092 15
468 765 -92
468 2309 -7
468 16139 -12
468 19801 89
468 27663 97
469 3866 97
469 10672 -77
470 19895 97
471 856 -1
472 5215 40
472 13037 41
472 24545 -62
472 28795 -5
473 1780 -26
473 4122 77
473 14576 -42
473 14649 -89
473 18573 -55
473 23798 -86
473 25301 98
473 27520 -81
474 1637 10
474 8537 -11
474 16722 45
475 12784 -46
475 17051 -54
475 19237 34
475 20493 10
475 23308 97
476 2959 34
476 21636 62
477 24023 57
477 25079 -11
477 26409 93
477 27762 86
477 28945 73
478 167 45
478 11255 75
479 4652 69
479 7749 -49
479 17412 -96
479 17658 -52
479 23990 33
480 4248 97
480 5275 40
480 10140 -97
480 13426 44
480 26826 45
481 11390 -28
481 22352 -38
481 27071 -19
482 10145 96
482 11417 -17
483 19593 -25
483 19763 -12
483 22579 78
484 19414 67
485 4736 63
485 15991 17
486 17632 80
486 25555 25
486 29657 -98
487 4058 -6
487 4576 -66
487 15455 -18
488 4990 -86
488 20802 -48
488 21168 36
488 23501 7
488 23636 80
489 1040 86
489 2389 98
489 4558 4
489 9282 -58
489 9563 -88
490 27337 4
490 27705 79
490 29383 -46
491 8124 -14
491 27237 -78
492 3174 -48
493 1220 -9
493 17500 70
493 29871 1
494 7393 -49
494 11230 -32
494 13716 -97
494 16258 -2
494 16350 -19
494 17832 92
494 28668 -79
495 1139 97
495 2172 69
495 7390 -60
495 8276 -71
495 22138 88
495 27101 -59
496 6415 3
496 10703 63
496 24393 -71
496 25487 14
497 549 20
497 10635 -15
497 22059 52
497 24600 -97
498 9611 -29
499 7128 82
499 10589 -82
499 12992 29
499 23933 64
499 25258 -39
500 2038 63
500 13115 27
500 13224 87
501 7139 -66
501 9100 -68
501 15243 -72
501 15468 -43
501 15550 -92
503 6681 82
503 9031 -75
503 12890 51
503 18629 30
503 28471 -64
503 28715 -100
503 29364 -1
504 8123 21
504 13730 -57
504 14585 -65
504 25831 16
504 25957 -2
505 5960 -25
505 7441 -64
505 18930 -4
505 19346 53
506 12745 83
506 12794 -99
506 22056 5
506 22070 -88
506 28316 -1
507 7922 79
507 15181 70
507 17450 -96
507 22956 14
507 23885 28
508 2169 12
508 5232 74
509 4580 54
509 12647 -52
509 15080 -86
509 19467 74
509 24644 -97
510 1126 7
510 7222 -4
510 22779 42
511 4102 3
511 12585 -48
512 25289 74
513 1647 14
513 1855 -43
513 12507 24
514 23321 75
514 24980 37
514 28756 -41
515 4723 -5
515 24527 80
516 17364 68
516 21118 -17
517 5388 76
517 6363 -38
517 16934 7
517 21189 85
517 22381 -82
517 23436 -61
518 4788 -89
518 6692 46
518 8930 88
519 980 -71
519 3794 84
519 13582 -57
519 16394 18
519 16729 -70
520 84 99
520 17220 41
520 18745 27
520 23477 -18
520 24153 -85
521 11797 -24
521 26296 82
522 9126 -82
522 9807 -65
522 20684 -64
522 21021 -95
523 536 1
523 9493 -21
523 15086 53
523 23923 4
524 15705 -84
524 22408 10
525 7838 3
525 22517 28
525 27923 -4
526 2755 66
526 6108 2
526 22399 70
526 26475 27
527 1406 20
527 5362 64
527 20600 -73
527 29935 -71
528 2795 -2
528 12688 94
528 13075 -90
528 19713 93
528 28677 -4
529 5021 70
529 23374 -55
530 15089 -60
530 21346 39
531 7254 60
532 6021 -18
532 11290 -78
532 20562 -20
532 22161 100
533 15943 -50
533 16233 -20
533 16836 -80
534 1965 -15
534 14853 45
534 28517 -48
535 787 22
535 2999 96
535 4871 72
535 19834 -14
536 13655 -58
537 11082 22
537 13841 25
537 19343 -59
538 1518 48
538 18002 58
538 24482 -87
538 27474 -99
539 7 -27
539 10884 -65
539 11269 32
539 12937 -47
539 16252 79
539 19036 -42
539 21750 -91
540 3360 -25
540 17502 81
540 22767 -66
540 25687 7
541 24308 76
541 26317 81
541 28755 -71
542 4261 21
542 19157 10
542 24389 -25
543 4140 -48
543 19151 -26
543 20633 7
543 21070 -29
543 24398 -94
544 14394 -22
544 16072 -98
544 23195 19
544 23488 -50
544 25872 -74
545 20005 -90
545 27884 97
546 6307 94
546 7676 66
546 22754 -49
547 15855 -57
547 28566 22
548 2421 -58
548 3225 74
548 3490 43
548 9781 47
548 24491 -98
549 600 -84
549 618 -1
549 2984 -23
549 14954 78
549 26953 35
550 9759 1
550 12836 25
550 17766 -7
550 25404 7
551 925 -6
551 6677 79
552 3957 76
552 4450 88
552 12204 75
552 24054 17
553 2059 -6
553 3518 96
553 3851 -62
553 9569 76
553 15224 19
554 3660 -6
554 8764 56
554 28596 -38
554 29346 4
554 29390 86
555 20727 67
555 24906 -21
555 25218 -29
556 2088 7
556 8636 49
556 12500 63
556 16690 -35
556 19987 -17
557 7166 -9
557 13005 -84
559 12182 93
559 18554 83
559 23895 61
560 5425 -99
560 7457 1
561 2821 13
561 15581 -19
562 11246 -56
562 18135 67
562 20803 -2
562 26507 -24
562 28295 -13
563 1005 -12
563 1044 84
563 3276 -49
563 15130 -3
564 8362 -1
564 18798 -3
564 22587 -43
565 19278 13
565 22310 7
566 9406 -94
566 14823 -20
566 29035 -74
568 11363 -45
568 17845 77
568 27421 -58
569 2695 43
569 22234 89
569 26164 -31
569 26367 -68
570 5563 -50
570 22916 -93
570 24173 76
571 2281 27
571 11720 -55
571 18730 40
571 19230 19
571 28337 -92
572 5270 3
572 8272 79
572 11682 35
572 23602 -59
573 1234 76
573 12977 -43
573 13061 -46
573 27991 69
574 23687 -83
574 28899 32
576 8915 3
576 8941 -47
576 28592 -58
577 16807 -81
577 20105 31
577 23758 63
