200 200
73 127 74
74 152 67
75 31 -4
75 52 -50
75 76 -19
75 111 32
75 127 67
75 145 62
76 91 15
76 106 68
76 117 19
77 37 -51
77 90 73
78 86 -77
79 18 56
79 70 -66
79 169 8
80 33 18
80 110 8
80 173 34
83 107 -1
83 151 -67
84 5 -67
84 46 99
84 56 23
84 183 -100
85 7 24
85 75 84
85 128 -19
85 159 52
86 113 78
86 121 -5
87 84 54
88 68 -46
88 176 -49
89 12 77
89 17 -19
89 64 33
89 84 51
89 198 -12
90 65 5
90 160 16
91 32 73
91 177 12
92 53 92
92 61 -79
92 63 72
92 120 -5
92 122 98
93 39 67
93 72 -21
93 168 -28
94 19 -16
94 156 34
95 48 -92
95 78 -52
96 58 57
96 66 -90
96 121 3
98 29 -21
98 127 99
98 135 -58
98 140 -87
99 71 -35
99 167 -96
99 170 -83
100 37 -96
100 162 36
100 164 4
100 191 -13
101 167 -98
102 87 62
102 127 21
103 16 23
103 40 1
103 63 79
103 71 -18
105 93 87
105 169 -88
106 54 -60
106 156 -40
106 174 -66
107 7 -47
109 156 -88
109 199 69
110 75 -56
111 2 19
111 178 -68
112 170 -32
112 175 -11
112 178 32
113 60 -16
113 95 73
113 118 18
113 173 -25
114 94 -30
115 107 33
116 3 -70
116 79 29
116 98 -18
116 140 1
116 170 96
117 31 -42
118 49 -40
118 55 -14
118 62 68
118 70 -13
118 86 -48
118 130 91
119 22 34
119 85 -83
119 90 -67
120 25 84
120 145 57
120 176 67
120 184 -25
121 171 -12
121 183 -52
122 29 80
122 51 89
122 95 2
122 99 58
122 115 31
123 4 84
127 32 59
127 75 -56
127 87 37
128 91 41
130 73 -4
130 184 -42
131 16 -87
131 106 -55
131 112 64
131 117 -95
131 195 -68
132 183 39
133 56 -49
133 72 40
134 24 84
134 94 58
134 98 -59
134 152 99
135 67 -27
135 85 96
135 162 35
137 80 23
137 187 80
137 189 94
138 93 17
139 187 -7
140 40 -48
140 115 -49
140 198 -59
141 164 35
142 7 89
142 12 -63
142 30 46
142 117 5
142 188 6
143 82 -60
143 140 -50
143 186 -92
143 186 67
144 78 -48
144 83 87
144 92 21
144 177 12
145 12 -23
145 144 21
145 163 71
146 10 70
146 105 -72
146 185 61
147 133 -59
147 175 -19
148 129 -16
148 199 77
149 81 -30
149 92 26
149 160 -91
150 2 -55
150 121 80
151 9 -49
151 72 54
151 112 -18
151 113 12
152 56 -1
152 175 -46
152 182 -100
153 23 -66
153 53 -6
154 54 -41
154 190 11
155 88 -86
156 83 13
157 66 -72
157 139 26
157 145 82
157 181 -37
157 190 57
158 88 11
158 127 25
158 195 68
159 7 -12
159 161 90
160 85 -32
160 146 -85
161 5 27
162 9 -25
162 22 83
162 54 59
162 71 -9
162 104 9
162 155 -50
162 180 -4
163 123 74
163 198 100
164 80 25
164 180 -79
165 95 -10
167 13 -93
167 84 -13
167 108 -30
167 183 -59
168 65 84
168 69 -24
169 144 34
170 18 -11
170 51 68
170 98 18
170 109 77
171 46 36
171 115 20
172 81 25
172 157 67
172 171 86
173 5 70
174 84 -10
174 133 -61
175 134 32
175 158 21
175 164 4
176 21 -100
176 150 -73
176 170 32
177 156 -18
178 78 -73
178 85 -56
178 102 -17
178 163 50
178 178 84
179 33 40
179 89 -25
181 68 97
182 108 -38
182 168 90
183 7 58
183 102 -86
184 66 94
184 133 16
184 182 59
185 78 -43
185 136 24
185 154 76
186 50 6
186 97 97
186 115 86
186 140 99
187 94 19
187 106 3
188 163 -81
189 42 36
189 52 -30
189 146 51
189 152 -37
190 2 -20
190 23 85
190 29 -21
190 137 -40
191 2 70
191 62 69
191 120 -38
191 161 96
191 164 -95
193 90 -38
193 90 59
194 9 -46
194 61 63
195 3 20
195 3 74
195 28 -92
195 73 -98
195 168 53
196 20 -41
196 61 26
196 111 100
196 159 73
197 43 -16
197 83 -6
197 86 -61
197 146 59
199 83 13
199 192 48
