200 200
101 110 77
101 116 -2
101 132 85
101 176 -66
102 4 -99
102 87 18
102 195 -52
103 31 4
103 64 -21
103 93 8
103 110 -31
103 111 -76
103 120 8
103 180 -45
104 83 7
104 197 42
105 81 5
105 109 42
106 21 -89
106 55 -95
106 118 62
107 87 -31
107 152 58
108 17 -51
108 175 -52
109 159 23
109 184 66
110 14 51
110 23 -6
110 76 6
110 152 79
110 165 24
110 169 5
111 86 65
111 97 69
112 17 33
112 100 44
112 122 -66
112 182 -80
113 164 -45
114 1 -77
114 42 5
114 108 20
114 137 13
114 150 -70
114 164 90
115 25 -72
115 117 -15
115 158 97
116 59 19
117 66 -52
117 68 91
117 82 65
117 91 -46
118 26 54
118 98 -84
119 109 -41
120 13 24
120 122 66
120 124 -90
121 69 65
122 39 62
122 122 51
123 97 -9
124 21 -80
124 82 1
124 186 21
125 165 -18
125 180 -12
126 13 16
126 64 65
126 117 36
127 22 -62
127 79 91
127 106 -90
128 12 61
128 126 -79
129 57 -66
131 42 97
131 88 -11
131 128 -92
131 130 40
131 196 96
132 42 28
132 163 -56
133 17 -38
133 118 -93
133 161 -83
134 5 16
134 19 1
134 75 98
134 100 70
134 113 -46
134 122 -59
135 50 -9
135 113 1
135 126 -15
136 12 -18
136 52 -63
136 70 90
136 83 73
136 120 6
136 159 55
136 168 61
138 75 38
138 79 -67
138 134 -51
139 106 68
139 185 25
140 82 -57
141 55 16
141 68 73
141 156 -42
142 9 -54
143 151 -22
143 154 54
143 156 94
143 160 12
144 86 -60
144 183 -27
144 194 94
145 192 31
146 22 -86
146 43 28
146 126 21
147 87 -75
147 104 -85
148 43 -84
148 48 51
148 85 51
148 88 -46
148 94 82
149 141 -86
149 183 -57
150 24 26
151 5 -78
151 32 40
151 90 53
151 159 -25
152 4 -78
152 28 18
152 158 -97
152 163 81
153 32 -28
153 90 76
154 53 -6
154 92 -99
155 159 92
155 174 -73
155 197 -43
156 32 -58
156 177 -66
157 29 -9
157 45 48
158 172 -88
160 68 -37
160 122 -10
160 127 66
161 11 -89
161 89 -82
161 155 53
162 148 68
163 195 -2
164 191 -41
165 11 93
165 24 -13
166 1 83
166 28 -39
166 116 80
166 162 -47
166 170 -55
167 47 21
167 85 76
167 115 -15
168 42 -75
168 119 -20
168 162 -87
168 169 100
168 192 28
169 116 -3
169 141 -20
169 153 -49
170 10 -11
170 167 42
171 131 42
171 138 -96
171 171 18
171 175 25
172 10 -99
172 132 83
173 6 57
173 27 69
173 112 -44
173 143 98
175 65 -89
175 84 26
176 2 -16
177 31 50
177 55 16
177 66 70
177 89 21
177 136 1
177 140 -96
178 40 -64
178 156 25
179 135 37
179 152 84
179 185 70
180 78 86
180 104 40
181 46 16
182 19 -19
182 25 -31
182 60 -69
182 144 -35
182 183 99
183 96 9
183 112 77
183 115 -58
183 143 6
184 14 -13
184 50 51
185 18 11
185 102 -22
185 133 -55
185 143 -39
185 149 -28
186 111 43
186 133 85
187 2 46
187 23 36
187 61 -57
188 43 -59
188 91 98
190 71 28
191 33 27
191 39 46
191 144 -48
192 90 -15
192 153 46
193 22 66
193 170 28
194 22 90
194 146 58
195 21 80
195 32 -85
195 83 19
195 182 15
196 11 12
196 56 31
196 114 -15
196 199 87
197 14 64
197 125 -84
197 130 63
198 97 73
198 103 75
198 131 -5
198 180 -50
199 63 -61
199 109 -18
