200 200
111 110 -65
111 149 57
111 152 72
111 170 -15
112 92 93
112 188 -77
114 111 30
114 138 95
115 17 95
115 23 44
115 32 -75
115 68 -21
115 173 40
116 7 95
116 40 2
116 71 40
116 187 -98
117 15 55
117 68 -61
117 71 79
117 118 -41
117 121 -10
117 158 87
118 73 -24
118 174 -58
118 197 7
119 35 -41
119 142 75
119 153 -71
120 19 43
120 58 44
120 93 -9
120 116 -54
121 12 -41
121 46 20
121 95 56
121 133 83
121 145 30
122 5 -16
122 66 -88
122 102 -45
123 3 -91
123 115 87
124 18 -30
124 20 -7
124 108 -31
124 112 16
124 120 10
124 181 55
124 197 -25
125 35 47
127 142 -65
127 190 17
129 16 -57
130 33 88
130 74 -58
130 80 -57
130 98 -63
130 181 -10
130 199 -87
131 33 74
131 75 90
131 143 -82
133 33 -32
133 86 -80
133 153 95
134 45 -18
134 74 -11
134 90 -14
135 131 -62
135 144 -20
136 79 -3
136 169 62
136 199 -45
138 25 84
138 54 -65
138 100 -87
138 168 49
139 69 28
139 118 -70
139 162 38
140 42 -42
140 150 -95
140 185 -36
141 15 -40
141 58 93
141 143 -72
142 69 -73
142 72 58
142 138 70
143 54 -22
143 165 90
144 8 -57
144 93 76
144 96 -12
144 160 78
145 40 -80
145 46 24
145 53 18
145 179 -54
146 153 62
147 46 -8
147 166 -72
148 10 12
148 31 -62
149 23 -19
149 68 -87
149 161 90
149 192 31
150 65 35
150 162 53
150 165 -73
151 17 59
151 135 61
152 6 -10
152 71 5
152 78 67
152 158 6
152 163 17
153 16 -67
153 66 -20
153 90 29
153 119 -83
153 149 -22
154 76 62
154 197 9
155 149 43
155 151 -79
155 177 -92
156 56 58
156 199 -80
157 71 26
157 139 100
158 139 -60
158 161 80
159 87 -84
160 90 -18
161 12 32
161 166 -4
162 83 -31
162 181 57
163 91 82
163 195 -12
164 34 48
164 185 -98
166 2 -87
166 34 43
166 67 94
166 68 -68
167 172 87
168 51 -46
168 115 -98
169 1 97
170 72 5
170 118 -72
170 199 -87
171 7 32
171 124 4
171 140 -32
171 156 24
172 27 -41
172 92 -90
172 140 20
172 190 38
173 27 89
173 52 -85
174 55 54
175 11 -85
175 49 70
175 98 -100
176 90 68
176 137 39
176 139 33
177 8 15
177 120 -54
177 133 -16
178 179 -80
180 54 89
180 94 -72
180 175 62
181 55 72
181 195 -34
182 139 23
182 175 21
183 21 73
185 96 92
185 109 22
187 5 -25
187 16 -1
187 34 4
187 132 -95
188 16 2
188 37 39
188 39 53
188 108 -73
189 35 -61
189 105 -81
189 135 32
189 162 20
190 25 46
190 161 -28
191 94 -3
192 98 -54
192 113 -8
192 178 15
193 194 -19
194 9 23
194 21 -59
194 122 44
195 122 -63
195 149 -49
195 171 79
196 74 -31
196 141 45
196 164 60
196 181 53
197 9 -36
197 22 -56
197 74 49
197 140 44
198 51 32
198 96 -33
198 157 76
199 46 34
199 60 68
199 80 -85
199 118 40
199 134 -49
199 151 -85
