200 200
119 125 -1
119 144 -35
120 8 -23
120 17 -36
120 85 -22
120 110 -47
120 175 27
121 136 4
122 64 -2
122 144 78
122 149 -37
123 18 -24
123 73 19
123 137 -48
123 149 -70
124 84 -37
124 108 36
124 114 5
125 34 5
125 52 -42
125 146 -76
125 167 -92
125 171 -63
126 62 32
126 139 -54
127 10 -35
127 59 50
127 66 63
127 82 -50
128 161 -56
129 8 85
129 50 8
129 66 -19
129 141 -39
130 18 -59
130 115 -29
130 171 68
131 77 -47
132 38 16
132 111 -20
133 5 36
133 96 16
134 82 62
134 94 -90
134 109 17
135 128 -82
135 163 24
135 185 -51
136 12 -50
136 156 90
136 175 61
137 123 -78
138 23 68
138 42 -57
138 181 42
138 195 -5
139 14 54
139 100 -40
139 119 -98
139 152 -7
140 31 71
140 53 76
140 137 55
140 184 -77
141 21 13
141 23 87
142 84 -57
142 121 -24
142 129 -19
143 96 71
143 118 98
144 109 95
144 131 -34
144 155 5
144 191 -87
145 7 -36
145 50 -70
146 168 -39
147 14 24
147 175 -94
148 75 -14
149 50 -7
150 9 69
150 144 -54
151 63 12
151 85 -32
152 10 40
152 78 57
152 99 -28
153 26 15
153 40 11
153 116 -12
153 168 -97
154 86 -76
154 173 24
155 30 -95
155 106 -32
155 182 53
156 16 -61
156 182 58
156 191 -64
157 53 -84
157 149 -36
157 174 -26
157 184 53
158 120 28
158 142 23
160 87 97
160 197 15
161 78 -70
162 29 51
162 155 -35
164 112 88
164 132 -51
164 153 26
165 25 -28
166 27 45
166 53 -59
166 75 93
167 107 38
167 176 9
169 88 -96
170 8 82
170 50 -41
171 43 -19
171 121 79
171 149 55
171 152 -80
172 166 -100
173 108 -39
174 52 45
174 55 -7
174 71 -46
174 83 -46
174 107 -33
174 173 90
175 47 18
175 148 -54
175 193 -74
176 79 -82
177 97 -46
178 10 11
178 31 -19
179 12 40
179 32 40
179 75 -28
179 115 -26
181 156 -81
181 178 33
181 193 -43
183 11 82
183 152 44
184 163 97
184 164 30
184 172 -7
184 184 42
185 8 2
185 73 -39
185 73 27
185 87 3
185 126 57
186 26 -63
186 146 -98
186 194 48
187 150 -39
188 48 86
188 99 98
188 170 -30
188 199 2
189 62 -71
189 93 -2
189 112 2
189 198 -79
190 20 -2
190 52 63
190 61 -75
190 63 -88
190 91 69
190 186 49
191 47 45
191 71 -21
191 81 2
191 119 40
192 3 -100
192 5 -76
192 25 42
192 65 25
192 194 -4
193 22 -69
193 45 -18
193 75 18
193 85 -7
193 177 62
193 186 49
194 176 77
196 16 95
196 69 7
196 108 -9
196 180 -36
197 65 70
197 84 9
197 129 -78
197 165 -32
197 195 -97
198 8 -3
198 13 -40
198 94 -22
198 168 -50
198 174 46
199 57 -1
199 88 -65
