200 200
75 9 18
75 20 88
75 43 69
75 93 9
77 33 -3
77 66 92
77 127 42
77 181 -16
78 26 10
78 121 63
79 14 -51
79 21 -78
79 32 79
79 129 -62
79 139 -58
80 90 78
81 44 91
81 118 15
81 174 -58
82 96 31
83 57 -29
83 73 15
83 86 -27
84 43 54
84 182 -30
85 57 -6
86 176 -21
88 87 -53
88 169 -32
88 177 93
90 27 -4
90 45 -71
90 149 13
91 19 -11
91 64 23
91 186 19
92 119 20
92 137 52
92 182 -29
93 131 -48
94 35 61
95 58 -67
95 91 51
95 93 -94
95 132 55
96 59 -92
96 68 -10
97 33 65
97 162 15
97 176 -99
97 182 -26
98 2 -16
98 23 -5
98 85 98
98 164 -64
99 14 -84
99 40 -5
99 64 39
100 26 52
100 48 -31
100 134 89
100 185 30
101 80 -70
101 104 -49
101 117 -38
102 34 63
102 92 76
102 106 49
103 57 11
104 82 40
104 94 -84
104 119 6
105 43 43
105 152 -26
105 156 36
106 15 -50
106 126 -77
107 149 20
108 89 -37
109 82 -89
109 149 98
110 83 -75
110 123 75
111 34 46
111 151 -52
112 12 -71
113 130 -30
113 169 -45
114 90 31
114 162 -27
115 178 -81
116 68 -36
117 35 99
117 49 -13
117 164 53
117 197 -52
117 199 48
118 61 -48
118 73 -42
118 142 -82
118 193 62
119 19 53
120 57 -34
120 77 -19
120 142 69
121 64 58
121 122 -80
122 88 45
122 91 -62
124 18 -72
124 39 74
125 11 80
125 89 17
125 151 83
125 187 -63
125 197 -100
126 150 26
127 67 93
127 179 -80
127 196 98
129 96 60
130 168 -17
131 20 -2
131 155 -79
131 192 -21
132 15 28
132 68 -27
132 167 80
132 178 9
132 183 86
133 59 72
133 77 49
133 100 35
133 135 6
133 192 -62
134 19 28
134 189 -16
135 15 81
135 97 -98
135 106 -81
136 14 -99
136 104 25
136 153 48
137 42 -78
137 42 -59
137 48 -97
137 152 78
138 25 -57
138 26 72
138 59 75
138 105 14
138 127 66
138 188 94
139 115 91
139 144 34
139 149 4
139 198 60
140 118 -77
141 27 -13
141 62 56
141 122 9
141 156 46
142 14 -94
143 75 63
144 80 3
145 41 -25
145 108 16
146 19 -68
146 152 14
146 181 -53
147 59 -12
147 83 86
147 86 -74
147 102 -92
147 163 55
148 41 100
148 135 5
148 192 66
149 5 -2
149 8 41
150 25 15
150 49 92
150 111 -34
150 144 -80
150 184 -20
151 124 -53
151 131 22
151 162 -58
152 23 -69
152 48 55
152 50 -27
152 97 58
152 109 -59
153 78 -5
153 80 92
153 89 96
153 120 28
153 127 87
154 33 -34
154 65 74
154 129 -36
155 1 41
155 116 44
155 174 -49
156 76 22
156 86 52
156 132 31
156 175 -98
157 158 -35
158 30 -2
158 164 53
159 52 -69
159 140 38
159 165 -63
159 179 -88
160 11 55
160 60 -89
160 65 84
160 75 -22
161 31 -42
161 71 -6
162 56 -35
162 57 98
162 101 94
162 162 -85
163 11 13
163 17 -7
163 69 57
163 161 87
163 166 64
165 20 96
166 21 16
166 64 91
166 76 74
167 59 -67
167 87 74
167 89 83
168 165 45
169 82 88
169 133 93
169 144 55
170 25 -39
170 158 -16
170 193 65
171 120 -48
171 168 -62
172 97 72
172 153 64
172 197 24
173 11 -98
173 19 3
173 22 -22
173 49 71
173 67 -22
173 152 27
174 46 57
175 174 88
175 194 30
176 110 -39
178 74 88
178 151 -9
179 17 13
179 130 -63
181 38 72
181 70 85
181 173 69
182 49 77
182 178 -43
183 80 32
183 83 78
183 99 -68
183 133 -88
183 166 -91
183 198 22
184 87 13
184 93 3
185 111 34
186 13 44
186 30 18
186 151 -62
187 124 43
187 131 -65
187 135 67
188 32 -79
188 181 -47
189 8 -13
189 9 -76
189 42 -75
189 97 7
189 105 -54
189 131 -35
190 46 87
190 143 -22
191 22 -17
191 71 -17
191 85 46
191 90 -43
191 114 99
192 43 -54
192 198 60
193 72 -86
194 24 -45
194 74 91
194 143 61
195 51 62
195 161 43
197 24 72
198 31 73
198 129 72
198 133 -57
199 55 46
