200 200
71 145 -95
71 164 -43
71 171 -93
72 8 -7
72 173 22
73 150 -83
74 158 15
74 184 89
75 188 -68
76 142 59
77 105 4
78 21 28
78 48 -21
78 190 38
79 39 35
79 39 85
79 75 26
79 166 -73
80 13 -24
80 138 -88
81 52 -24
81 129 93
82 58 -83
82 72 27
82 153 -68
82 179 5
83 103 34
83 124 96
85 29 30
85 87 9
86 43 99
86 48 66
86 61 -65
86 146 7
86 175 60
87 40 93
87 52 -74
87 133 29
87 168 -86
88 46 -1
88 106 -86
89 37 -58
89 99 -81
89 172 -9
90 2 -71
90 23 -22
90 138 -42
90 154 -83
92 54 -100
93 20 -57
93 110 -65
93 119 -57
93 175 26
94 150 -69
94 150 -35
94 172 38
95 135 -71
96 37 -68
96 187 17
97 39 1
97 44 90
97 106 90
98 166 9
98 169 -73
99 162 -57
100 21 -3
100 187 -78
101 162 98
101 173 10
102 127 9
103 23 -21
103 123 -17
104 34 -91
104 110 34
104 189 -39
105 31 -41
105 67 37
105 118 -92
106 8 61
106 163 -2
107 56 -96
107 69 -53
107 83 -11
107 115 -22
108 25 -6
108 164 42
109 19 -50
109 190 -42
110 185 -83
110 188 -32
111 1 35
111 1 38
111 79 -18
112 157 64
114 197 14
115 171 -44
115 181 98
115 186 77
116 96 -27
116 112 66
117 16 -86
117 55 -6
117 145 1
117 153 69
118 124 90
119 191 -5
120 156 -91
121 94 -35
121 108 -34
121 180 9
122 5 -6
122 40 81
122 121 81
123 20 -48
123 133 32
124 54 -95
124 86 8
125 102 46
126 86 98
127 10 25
127 87 29
127 186 -36
128 12 29
128 144 -11
129 66 -18
129 158 25
130 114 -88
131 6 37
131 58 38
131 62 -86
131 102 86
132 46 88
132 108 -40
132 117 -34
133 45 -69
134 112 54
134 155 -92
134 189 5
135 140 34
135 158 -63
136 54 -92
136 95 75
136 127 -42
137 61 -25
137 76 -55
137 108 79
137 113 9
137 142 -6
137 179 -83
138 5 45
138 18 15
138 55 94
139 70 57
139 79 45
139 160 -18
139 183 2
140 38 32
140 141 -15
141 10 21
141 150 -38
143 30 82
143 85 -34
143 87 88
143 97 92
144 2 29
144 36 -71
144 106 36
145 67 43
145 105 98
145 128 -35
145 168 1
145 173 69
146 118 -97
146 135 13
147 67 88
147 119 13
147 152 17
147 181 68
148 118 14
149 45 86
149 64 -77
149 88 56
149 110 92
149 153 3
149 166 -30
150 8 60
150 65 57
150 123 -15
151 165 -78
152 17 -23
152 27 12
152 63 -95
152 113 -15
152 134 -13
153 5 53
153 137 -11
153 197 -11
154 37 -92
154 142 -98
155 133 -98
155 175 -22
156 52 33
157 36 -4
157 100 64
158 7 -93
158 16 67
158 39 25
158 88 -12
158 93 -13
159 13 -77
159 15 13
159 18 98
159 164 -45
159 198 -12
160 138 48
161 164 81
161 186 1
162 55 -47
162 82 98
162 140 -100
162 180 -61
163 5 20
163 24 -84
163 120 86
163 134 -74
164 10 12
164 45 -39
164 70 -51
164 90 15
164 109 73
165 70 8
165 186 34
167 56 47
167 59 50
167 172 -48
168 31 12
169 22 -47
169 24 -71
169 131 10
169 198 77
171 7 40
171 68 -41
171 120 -22
171 156 -14
172 15 -47
172 19 -79
172 62 28
172 133 85
172 137 -56
172 197 7
173 22 37
173 69 -7
173 86 -61
173 90 -66
173 123 -76
174 49 12
174 190 -3
175 47 44
175 111 16
175 141 -17
175 164 91
175 166 73
175 184 -98
176 41 90
176 148 -39
177 124 -67
177 193 -26
177 194 -68
178 13 -86
178 121 -6
179 105 87
179 168 -92
179 172 -90
180 28 28
180 50 6
180 83 -80
180 150 -69
181 13 -64
181 17 5
181 32 55
181 147 -72
181 180 77
182 147 -92
183 10 -57
183 172 69
184 31 75
184 94 -13
184 189 -11
185 142 30
185 158 98
185 196 -32
186 2 -76
187 11 -15
187 59 -81
187 79 -60
187 113 99
188 35 66
188 95 22
188 108 97
188 162 -53
189 55 -68
189 75 -65
189 114 56
189 199 -41
191 11 -3
191 70 -87
191 86 16
191 94 -15
191 96 -26
191 130 -26
192 122 79
193 12 -18
193 97 49
193 158 -58
194 91 98
194 99 -69
194 107 -34
195 183 -58
196 185 -68
196 193 -46
197 51 -34
197 118 95
198 4 13
198 89 21
198 158 -98
198 198 -38
199 141 67
199 160 83
199 199 -53
